id_transaksi,jenis_item,jumlah,tanggal pembelian,nama_customer,total
133903,Majalah Berita,8,8/28/2011,Victor Ortega,5760000
133903,Buku Sejarah,1,8/28/2011,Victor Ortega,90000
133903,Buku Biografi,1,10/20/2011,Victor Ortega,25000
133903,Aksesoris Buku,7,10/20/2011,Victor Ortega,2940000
133904,Majalah Seni,6,11/23/2011,Christopher Henry,1800000
133904,Majalah Berita,5,11/23/2011,Christopher Henry,625000
133904,Novel Misteri,5,1/25/2012,Christopher Henry,2750000
133904,Novel Romansa,7,1/25/2012,Christopher Henry,2940000
133904,Aksesoris Buku,5,1/25/2012,Christopher Henry,625000
133905,Alat Tulis,9,1/25/2012,Elizabeth Burns,12150000
133905,Buku Sejarah,3,1/25/2012,Elizabeth Burns,1170000
133905,Buku Anak-Anak,5,1/25/2012,Elizabeth Burns,2500000
133905,Majalah Fashion,1,1/25/2012,Elizabeth Burns,110000
133905,Majalah Berita,9,1/25/2012,Elizabeth Burns,1620000
133905,Novel Fiksi Ilmiah,4,1/25/2012,Elizabeth Burns,800000
133905,Buku Fiksi,3,1/25/2012,Elizabeth Burns,810000
133905,Buku Biografi,9,1/25/2012,Elizabeth Burns,7290000
133906,Alat Tulis,8,1/25/2012,John Calhoun,1280000
133906,Buku Sejarah,1,1/25/2012,John Calhoun,110000
133906,Novel Misteri,2,1/25/2012,John Calhoun,240000
133906,Novel Fiksi Ilmiah,3,1/25/2012,John Calhoun,450000
133907,Alat Tulis,3,1/25/2012,Sarah Moore,450000
133907,Buku Sejarah,6,1/25/2012,Sarah Moore,3960000
133907,Buku Anak-Anak,6,1/25/2012,Sarah Moore,3600000
133907,Majalah Fashion,4,1/25/2012,Sarah Moore,320000
133907,Buku Biografi,7,4/23/2012,Sarah Moore,5390000
133907,Novel Romansa,9,7/31/2012,Sarah Moore,8910000
133908,Alat Tulis,5,7/31/2012,Tabitha Dixon,2500000
133908,Majalah Seni,2,7/31/2012,Tabitha Dixon,80000
133908,Buku Sejarah,3,7/31/2012,Tabitha Dixon,990000
133908,Aksesoris Buku,5,7/31/2012,Tabitha Dixon,2500000
133909,Alat Tulis,9,7/31/2012,Ronnie Wells,2025000
133909,Buku Anak-Anak,6,7/31/2012,Ronnie Wells,1800000
133909,Majalah Berita,9,7/31/2012,Ronnie Wells,8100000
133909,Novel Fiksi Ilmiah,8,7/31/2012,Ronnie Wells,3840000
133909,Novel Misteri,2,7/31/2012,Ronnie Wells,360000
133909,Buku Biografi,1,7/31/2012,Ronnie Wells,100000
133909,Novel Romansa,1,7/31/2012,Ronnie Wells,25000
133909,Aksesoris Buku,1,7/31/2012,Ronnie Wells,25000
133910,Alat Tulis,7,7/31/2012,Julia King,2450000
133910,Majalah Fashion,8,7/31/2012,Julia King,3200000
133910,Majalah Berita,6,7/31/2012,Julia King,3600000
133910,Novel Fiksi Ilmiah,1,7/31/2012,Julia King,50000
133910,Buku Fiksi,5,7/31/2012,Julia King,100000
133910,Buku Biografi,7,7/31/2012,Julia King,1225000
133910,Novel Misteri,3,7/31/2012,Julia King,1080000
133911,Buku Sejarah,5,7/31/2012,Pam Rios,625000
133911,Alat Tulis,1,7/31/2012,Pam Rios,20000
133911,Buku Anak-Anak,5,7/31/2012,Pam Rios,2500000
133911,Majalah Fashion,9,7/31/2012,Pam Rios,10530000
133911,Majalah Seni,6,7/31/2012,Pam Rios,1800000
133911,Novel Fiksi Ilmiah,5,7/31/2012,Pam Rios,3250000
133911,Buku Biografi,4,7/31/2012,Pam Rios,80000
133911,Aksesoris Buku,3,7/31/2012,Pam Rios,1350000
133912,Buku Sejarah,9,7/31/2012,Elizabeth Dean,4050000
133912,Alat Tulis,3,7/31/2012,Elizabeth Dean,1350000
133912,Buku Anak-Anak,4,7/31/2012,Elizabeth Dean,2080000
133912,Novel Fiksi Ilmiah,7,7/31/2012,Elizabeth Dean,980000
133913,Buku Fiksi,2,7/31/2012,Randy Carlson,80000
133913,Majalah Berita,8,7/31/2012,Randy Carlson,7040000
133913,Buku Anak-Anak,5,7/31/2012,Randy Carlson,500000
133913,Aksesoris Buku,8,9/30/2012,Randy Carlson,3840000
133914,Novel Romansa,2,9/30/2012,Jeremy Stark,80000
133914,Majalah Seni,7,9/30/2012,Jeremy Stark,6370000
133914,Novel Misteri,3,9/30/2012,Jeremy Stark,180000
133914,Novel Fiksi Ilmiah,4,9/30/2012,Jeremy Stark,320000
133915,Alat Tulis,2,9/30/2012,Courtney Terry,520000
133915,Buku Anak-Anak,6,9/30/2012,Courtney Terry,3960000
133915,Majalah Fashion,4,9/30/2012,Courtney Terry,2080000
133915,Majalah Seni,4,9/30/2012,Courtney Terry,1920000
133915,Majalah Berita,8,9/30/2012,Courtney Terry,9600000
133915,Novel Fiksi Ilmiah,9,9/30/2012,Courtney Terry,8910000
133915,Buku Biografi,9,9/30/2012,Courtney Terry,1620000
133915,Aksesoris Buku,5,10/24/2012,Courtney Terry,3250000
133916,Novel Romansa,9,10/24/2012,Samantha Savage,180000
133916,Majalah Fashion,9,10/24/2012,Samantha Savage,1620000
133916,Majalah Berita,7,10/24/2012,Samantha Savage,2940000
133916,Novel Fiksi Ilmiah,6,10/24/2012,Samantha Savage,3240000
133917,Buku Sejarah,3,10/24/2012,James Burnett,1170000
133917,Alat Tulis,1,10/24/2012,James Burnett,50000
133917,Majalah Fashion,3,10/24/2012,James Burnett,1350000
133917,Majalah Seni,1,10/24/2012,James Burnett,150000
133917,Majalah Berita,1,10/24/2012,James Burnett,150000
133917,Novel Fiksi Ilmiah,4,10/24/2012,James Burnett,320000
133917,Buku Fiksi,7,10/24/2012,James Burnett,6370000
133917,Buku Biografi,6,10/24/2012,James Burnett,120000
133918,Alat Tulis,9,12/21/2012,Richard Nicholson,10530000
133918,Buku Sejarah,6,12/21/2012,Richard Nicholson,3600000
133918,Buku Anak-Anak,2,12/21/2012,Richard Nicholson,80000
133918,Majalah Seni,5,12/21/2012,Richard Nicholson,1250000
133918,Majalah Berita,3,12/21/2012,Richard Nicholson,450000
133918,Buku Fiksi,8,12/21/2012,Richard Nicholson,3840000
133919,Buku Anak-Anak,6,12/21/2012,Heather Price,2160000
133919,Majalah Fashion,4,3/10/2013,Heather Price,800000
133919,Majalah Seni,5,3/10/2013,Heather Price,2250000
133919,Majalah Berita,1,3/10/2013,Heather Price,100000
133919,Novel Fiksi Ilmiah,8,4/7/2013,Heather Price,3200000
133919,Buku Fiksi,6,4/7/2013,Heather Price,3240000
133919,Aksesoris Buku,2,4/7/2013,Heather Price,600000
133920,Alat Tulis,3,4/7/2013,Jeffery Newton,1170000
133920,Buku Sejarah,5,4/7/2013,Jeffery Newton,2250000
133920,Buku Anak-Anak,7,5/30/2013,Jeffery Newton,980000
133920,Buku Fiksi,8,5/30/2013,Jeffery Newton,7680000
133920,Buku Biografi,1,5/30/2013,Jeffery Newton,50000
133921,Alat Tulis,5,5/30/2013,Michael Buchanan,3000000
133921,Buku Anak-Anak,4,5/30/2013,Michael Buchanan,1920000
133921,Majalah Fashion,7,5/30/2013,Michael Buchanan,4900000
133921,Majalah Seni,4,5/30/2013,Michael Buchanan,1920000
133921,Majalah Berita,3,5/30/2013,Michael Buchanan,
133921,Novel Misteri,4,5/30/2013,Michael Buchanan,80000
133921,Novel Romansa,7,5/30/2013,Michael Buchanan,2450000
133921,Aksesoris Buku,2,5/30/2013,Michael Buchanan,40000
133922,Alat Tulis,1,5/30/2013,Raymond Ruiz,90000
133922,Buku Sejarah,8,5/30/2013,Raymond Ruiz,1600000
133922,Buku Anak-Anak,4,5/30/2013,Raymond Ruiz,400000
133922,Majalah Fashion,7,7/17/2013,Raymond Ruiz,4410000
133922,Majalah Seni,3,7/17/2013,Raymond Ruiz,450000
133922,Buku Biografi,6,7/17/2013,Raymond Ruiz,120000
133923,Majalah Fashion,9,7/17/2013,Angela Conway,1620000
133923,Majalah Seni,1,7/17/2013,Angela Conway,150000
133923,Buku Fiksi,4,7/17/2013,Angela Conway,320000
133923,Novel Misteri,7,,Angela Conway,140000
133923,Buku Biografi,8,7/17/2013,Angela Conway,160000
133924,Alat Tulis,8,7/17/2013,Laura Hoover,6400000
133924,Buku Sejarah,9,7/17/2013,Laura Hoover,8910000
133924,Buku Anak-Anak,8,7/17/2013,Laura Hoover,7040000
133924,Majalah Berita,3,7/17/2013,Laura Hoover,450000
133924,Novel Misteri,9,7/17/2013,Laura Hoover,12150000
133924,Novel Romansa,5,7/17/2013,Laura Hoover,3750000
133924,Aksesoris Buku,1,9/24/2013,Laura Hoover,50000
133925,Majalah Fashion,7,9/24/2013,Patrick Smith,1225000
133925,Majalah Seni,1,9/24/2013,Patrick Smith,100000
133925,Majalah Berita,9,9/24/2013,Patrick Smith,1620000
133925,Novel Fiksi Ilmiah,5,9/24/2013,Patrick Smith,1500000
133925,Buku Fiksi,5,9/24/2013,Patrick Smith,2750000
133925,Novel Misteri,9,9/24/2013,Patrick Smith,4860000
133926,Novel Romansa,8,9/24/2013,Dr. Lucas Moore,7680000
133926,Majalah Berita,2,9/24/2013,Dr. Lucas Moore,440000
133926,Aksesoris Buku,6,9/24/2013,Dr. Lucas Moore,3600000
133926,Buku Sejarah,4,9/24/2013,Dr. Lucas Moore,320000
133927,Alat Tulis,1,9/24/2013,Angela Mercer,110000
133927,Buku Anak-Anak,8,9/24/2013,Angela Mercer,7040000
133927,Majalah Seni,4,9/24/2013,Angela Mercer,2400000
133927,Buku Fiksi,2,9/24/2013,Angela Mercer,80000
133927,Buku Biografi,7,9/24/2013,Angela Mercer,5880000
133928,Majalah Seni,5,9/24/2013,Jill Perez,2250000
133928,Alat Tulis,7,9/24/2013,Jill Perez,4410000
133928,Buku Anak-Anak,5,9/24/2013,Jill Perez,2750000
133928,Aksesoris Buku,5,9/24/2013,Jill Perez,500000
133929,Alat Tulis,9,9/24/2013,Cynthia Nash,2025000
133929,Buku Sejarah,5,9/24/2013,Cynthia Nash,2250000
133929,Majalah Fashion,3,9/24/2013,Cynthia Nash,1080000
133929,Majalah Seni,1,9/24/2013,Cynthia Nash,20000
133929,Buku Fiksi,1,12/29/2013,Cynthia Nash,50000
133929,Novel Misteri,2,12/29/2013,Cynthia Nash,200000
133929,Buku Biografi,4,12/29/2013,Cynthia Nash,2400000
133929,Novel Romansa,2,12/29/2013,Cynthia Nash,80000
133930,Buku Sejarah,3,12/29/2013,Kelly Sanchez,540000
133930,Alat Tulis,4,12/29/2013,Kelly Sanchez,2400000
133930,Majalah Fashion,9,12/29/2013,Kelly Sanchez,2025000
133930,Majalah Seni,2,12/29/2013,Kelly Sanchez,40000
133930,Majalah Berita,9,12/29/2013,Kelly Sanchez,1620000
133930,Novel Romansa,4,12/29/2013,Kelly Sanchez,800000
133931,Alat Tulis,2,1/12/2014,Jaclyn Atkinson,600000
133931,Buku Sejarah,8,1/27/2014,Jaclyn Atkinson,160000
133931,Majalah Fashion,2,1/27/2014,Jaclyn Atkinson,80000
133931,Majalah Berita,4,,Jaclyn Atkinson,2080000
133931,Novel Fiksi Ilmiah,4,,Jaclyn Atkinson,400000
133931,Buku Biografi,7,1/27/2014,Jaclyn Atkinson,140000
133932,Alat Tulis,8,1/27/2014,Chad Harrington,1280000
133932,Buku Anak-Anak,6,1/27/2014,Chad Harrington,3960000
133932,Majalah Berita,9,1/27/2014,Chad Harrington,
133932,Novel Fiksi Ilmiah,7,1/27/2014,Chad Harrington,140000
133932,Buku Fiksi,4,1/27/2014,Chad Harrington,2400000
133932,Buku Biografi,1,1/27/2014,Chad Harrington,20000
133932,Aksesoris Buku,6,2/12/2014,Chad Harrington,4320000
133933,Novel Romansa,4,2/12/2014,Tina Alexander,1600000
133933,Majalah Seni,9,2/12/2014,Tina Alexander,8910000
133933,Aksesoris Buku,4,2/12/2014,Tina Alexander,320000
133933,Majalah Fashion,9,2/12/2014,Tina Alexander,1620000
133934,Alat Tulis,7,2/12/2014,Perry Morse,140000
133934,Majalah Seni,9,2/12/2014,Perry Morse,12150000
133934,Majalah Berita,9,2/12/2014,Perry Morse,4860000
133934,Buku Biografi,5,2/12/2014,Perry Morse,100000
133934,Aksesoris Buku,1,2/12/2014,Perry Morse,20000
133935,Alat Tulis,1,2/12/2014,Monica Mccoy,120000
133935,Majalah Fashion,1,2/12/2014,Monica Mccoy,120000
133935,Majalah Seni,4,2/12/2014,Monica Mccoy,1920000
133935,Novel Misteri,2,2/12/2014,Monica Mccoy,200000
133935,Buku Biografi,8,4/13/2014,Monica Mccoy,7680000
133935,Novel Romansa,8,4/13/2014,Monica Mccoy,1280000
133936,Alat Tulis,8,4/13/2014,Benjamin Johnson,3200000
133936,Buku Sejarah,9,4/13/2014,Benjamin Johnson,4860000
133936,Buku Anak-Anak,1,4/13/2014,Benjamin Johnson,20000
133936,Majalah Seni,9,4/13/2014,Benjamin Johnson,8910000
133936,Novel Misteri,6,4/13/2014,Benjamin Johnson,4320000
133936,Aksesoris Buku,5,4/13/2014,Benjamin Johnson,3750000
133937,Alat Tulis,9,4/13/2014,Charles Lee,1620000
133937,Majalah Seni,5,4/13/2014,Charles Lee,1250000
133937,Majalah Berita,9,4/13/2014,Charles Lee,1620000
133937,Novel Misteri,3,4/13/2014,Charles Lee,900000
133937,Novel Romansa,2,4/13/2014,Charles Lee,480000
133937,Aksesoris Buku,2,4/13/2014,Charles Lee,80000
133938,Majalah Berita,5,4/13/2014,Douglas Davenport,3000000
133938,Buku Fiksi,7,4/13/2014,Douglas Davenport,1225000
133938,Buku Sejarah,5,4/13/2014,Douglas Davenport,3000000
133938,Aksesoris Buku,5,4/13/2014,Douglas Davenport,2750000
133939,Alat Tulis,5,7/10/2014,Jasmine English,2250000
133939,Buku Sejarah,3,7/10/2014,Jasmine English,1170000
133939,Buku Anak-Anak,2,10/11/2014,Jasmine English,520000
133939,Novel Fiksi Ilmiah,2,10/11/2014,Jasmine English,240000
133939,Novel Romansa,8,10/11/2014,Jasmine English,5760000
133939,Aksesoris Buku,5,10/11/2014,Jasmine English,500000
133940,Alat Tulis,4,10/11/2014,Michael Barrera,1920000
133940,Buku Anak-Anak,6,10/11/2014,Michael Barrera,900000
133940,Majalah Seni,8,10/11/2014,Michael Barrera,7680000
133940,Buku Fiksi,8,10/11/2014,Michael Barrera,5760000
133940,Buku Biografi,7,10/11/2014,Michael Barrera,2940000
133940,Novel Misteri,2,10/11/2014,Michael Barrera,440000
133940,Novel Romansa,9,10/11/2014,Michael Barrera,8910000
133941,Buku Fiksi,9,10/11/2014,Bryan Powell,10530000
133941,Buku Sejarah,6,10/11/2014,Bryan Powell,720000
133941,Novel Misteri,4,10/11/2014,Bryan Powell,1920000
133941,Novel Fiksi Ilmiah,4,10/11/2014,Bryan Powell,320000
133942,Alat Tulis,1,10/11/2014,Bobby Nelson,50000
133942,Buku Fiksi,6,10/11/2014,Bobby Nelson,3960000
133942,Buku Sejarah,5,11/19/2014,Bobby Nelson,3750000
133942,Buku Anak-Anak,8,11/19/2014,Bobby Nelson,9600000
133943,Alat Tulis,9,1/1/2015,Ronald Mcneil,9720000
133943,Buku Anak-Anak,3,1/13/2015,Ronald Mcneil,180000
133943,Majalah Seni,8,1/13/2015,Ronald Mcneil,1600000
133943,Novel Fiksi Ilmiah,9,1/13/2015,Ronald Mcneil,10530000
133943,Buku Fiksi,2,1/13/2015,Ronald Mcneil,80000
133943,Novel Misteri,6,1/13/2015,Ronald Mcneil,900000
133943,Aksesoris Buku,2,1/13/2015,Ronald Mcneil,80000
133944,Alat Tulis,6,1/13/2015,Christopher Hughes,3600000
133944,Buku Sejarah,9,1/13/2015,Christopher Hughes,10530000
133944,Buku Anak-Anak,6,1/13/2015,Christopher Hughes,720000
133944,Novel Fiksi Ilmiah,3,1/13/2015,Christopher Hughes,180000
133944,Buku Fiksi,7,1/13/2015,Christopher Hughes,980000
133944,Buku Biografi,4,1/13/2015,Christopher Hughes,1440000
133944,Novel Romansa,1,1/13/2015,Christopher Hughes,50000
133944,Aksesoris Buku,8,1/13/2015,Christopher Hughes,1280000
133945,Alat Tulis,5,1/13/2015,Jerome Mayo,2250000
133945,Buku Anak-Anak,9,1/13/2015,Jerome Mayo,180000
133945,Majalah Seni,9,1/13/2015,Jerome Mayo,7290000
133945,Majalah Berita,9,1/13/2015,Jerome Mayo,8100000
133945,Novel Fiksi Ilmiah,2,1/13/2015,Jerome Mayo,240000
133945,Novel Misteri,7,1/13/2015,Jerome Mayo,4900000
133945,Aksesoris Buku,8,1/13/2015,Jerome Mayo,6400000
133946,Majalah Fashion,6,1/13/2015,Krista Jones,1800000
133946,Majalah Seni,2,1/13/2015,Krista Jones,240000
133946,Novel Misteri,9,1/13/2015,Krista Jones,1620000
133946,Novel Romansa,6,1/13/2015,Krista Jones,1800000
133946,Aksesoris Buku,1,1/13/2015,Krista Jones,60000
133947,Buku Sejarah,6,1/13/2015,Michael Wells,4320000
133947,Alat Tulis,2,1/13/2015,Michael Wells,440000
133947,Majalah Fashion,5,1/13/2015,Michael Wells,625000
133947,Novel Fiksi Ilmiah,7,1/13/2015,Michael Wells,1225000
133947,Novel Misteri,8,1/13/2015,Michael Wells,7040000
133947,Buku Biografi,6,1/13/2015,Michael Wells,120000
133947,Novel Romansa,3,1/13/2015,Michael Wells,1080000
133947,Aksesoris Buku,5,1/13/2015,Michael Wells,2500000
133948,Alat Tulis,4,1/13/2015,Ryan Buchanan,800000
133948,Buku Anak-Anak,8,1/13/2015,Ryan Buchanan,3200000
133948,Majalah Fashion,2,1/13/2015,Ryan Buchanan,100000
133948,Majalah Seni,1,1/13/2015,Ryan Buchanan,100000
133948,Majalah Berita,7,1/13/2015,Ryan Buchanan,4900000
133948,Buku Fiksi,3,1/13/2015,Ryan Buchanan,1170000
133948,Buku Biografi,3,1/13/2015,Ryan Buchanan,225000
133948,Aksesoris Buku,7,1/13/2015,Ryan Buchanan,4410000
133949,Novel Romansa,2,1/13/2015,James Mcintosh,600000
133949,Alat Tulis,1,1/13/2015,James Mcintosh,20000
133949,Buku Anak-Anak,9,1/13/2015,James Mcintosh,4860000
133949,Buku Sejarah,1,1/13/2015,James Mcintosh,25000
133950,Buku Sejarah,4,1/13/2015,Sharon Rivera,400000
133950,Alat Tulis,2,1/13/2015,Sharon Rivera,40000
133950,Novel Fiksi Ilmiah,7,1/13/2015,Sharon Rivera,2940000
133950,Buku Fiksi,5,1/13/2015,Sharon Rivera,2750000
133950,Novel Misteri,4,1/13/2015,Sharon Rivera,80000
133950,Novel Romansa,5,1/13/2015,Sharon Rivera,3000000
133950,Aksesoris Buku,6,1/13/2015,Sharon Rivera,3600000
133951,Alat Tulis,4,1/13/2015,Jamie Bennett,800000
133951,Buku Sejarah,3,1/13/2015,Jamie Bennett,450000
133951,Buku Anak-Anak,5,1/13/2015,Jamie Bennett,3000000
133951,Buku Biografi,3,1/13/2015,Jamie Bennett,1080000
133951,Novel Romansa,5,1/13/2015,Jamie Bennett,500000
133951,Aksesoris Buku,4,1/13/2015,Jamie Bennett,320000
133952,Buku Sejarah,3,1/13/2015,Dylan Ward,900000
133952,Alat Tulis,3,1/13/2015,Dylan Ward,990000
133952,Buku Anak-Anak,5,1/13/2015,Dylan Ward,3750000
133952,Majalah Fashion,8,1/13/2015,Dylan Ward,1280000
133952,Majalah Berita,1,1/13/2015,Dylan Ward,60000
133952,Buku Fiksi,8,2/1/2015,Dylan Ward,1280000
133952,Buku Biografi,1,2/1/2015,Dylan Ward,150000
133952,Novel Misteri,8,2/1/2015,Dylan Ward,3840000
133953,Buku Sejarah,8,2/16/2015,Jason Patterson,3200000
133953,Majalah Fashion,2,2/16/2015,Jason Patterson,360000
133953,Majalah Berita,9,5/17/2015,Jason Patterson,1620000
133953,Buku Fiksi,1,5/17/2015,Jason Patterson,60000
133953,Novel Misteri,1,5/17/2015,Jason Patterson,20000
133953,Buku Biografi,8,5/17/2015,Jason Patterson,9600000
133954,Alat Tulis,4,5/17/2015,Kyle Webb,320000
133954,Buku Sejarah,5,5/17/2015,Kyle Webb,1500000
133954,Majalah Fashion,2,5/17/2015,Kyle Webb,600000
133954,Majalah Seni,9,5/17/2015,Kyle Webb,4860000
133954,Buku Fiksi,5,5/17/2015,Kyle Webb,1500000
133954,Aksesoris Buku,4,5/17/2015,Kyle Webb,1600000
133955,Alat Tulis,1,5/17/2015,Martin Christian,20000
133955,Buku Anak-Anak,9,5/17/2015,Martin Christian,8910000
133955,Majalah Berita,7,5/17/2015,Martin Christian,7350000
133955,Novel Fiksi Ilmiah,6,5/17/2015,Martin Christian,900000
133955,Buku Fiksi,2,5/17/2015,Martin Christian,100000
133955,Buku Biografi,3,5/17/2015,Martin Christian,810000
133955,Novel Misteri,7,5/17/2015,Martin Christian,4410000
133955,Aksesoris Buku,3,5/17/2015,Martin Christian,180000
133956,Alat Tulis,4,5/17/2015,Jeffrey Lin DVM,1600000
133956,Buku Anak-Anak,7,5/17/2015,Jeffrey Lin DVM,7350000
133956,Majalah Seni,5,5/17/2015,Jeffrey Lin DVM,500000
133956,Buku Fiksi,9,5/17/2015,Jeffrey Lin DVM,9720000
133956,Buku Biografi,5,5/17/2015,Jeffrey Lin DVM,2250000
133956,Novel Misteri,2,5/17/2015,Jeffrey Lin DVM,80000
133956,Novel Romansa,8,5/17/2015,Jeffrey Lin DVM,160000
133956,Aksesoris Buku,4,5/17/2015,Jeffrey Lin DVM,800000
133957,Buku Sejarah,9,5/17/2015,Mr. Anthony Elliott MD,9720000
133957,Alat Tulis,4,5/17/2015,Mr. Anthony Elliott MD,2080000
133957,Buku Anak-Anak,4,8/22/2015,Mr. Anthony Elliott MD,1440000
133957,Majalah Fashion,2,9/25/2015,Mr. Anthony Elliott MD,440000
133957,Majalah Berita,9,9/25/2015,Mr. Anthony Elliott MD,1620000
133957,Novel Misteri,5,9/25/2015,Mr. Anthony Elliott MD,500000
133957,Novel Romansa,9,9/25/2015,Mr. Anthony Elliott MD,10530000
133957,Aksesoris Buku,3,9/25/2015,Mr. Anthony Elliott MD,60000
133958,Alat Tulis,9,9/25/2015,Laura Skinner MD,7290000
133958,Buku Sejarah,1,9/25/2015,Laura Skinner MD,25000
133958,Majalah Fashion,7,9/25/2015,Laura Skinner MD,4410000
133958,Majalah Berita,4,9/25/2015,Laura Skinner MD,400000
133958,Buku Fiksi,3,9/25/2015,Laura Skinner MD,1080000
